Run,Gen,BestScore,Material,2x2 Structure,Mobility,Corners,Edges,Center
run2,7,1.1150000000000002,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,8,1.1216666666666668,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,9,1.1383333333333334,191.16,124.67,20.019356076764655,10.0,15.0,-10.0
run2,10,1.1216666666666668,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,11,1.125,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,12,1.1233333333333333,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,13,1.1616666666666668,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,14,1.09,191.16,124.67,20.019356076764655,20.712605579309148,5.461307415944216,-12.923737421106
run2,15,1.13,191.16,124.67,20.019356076764655,20.712605579309148,5.461307415944216,-12.923737421106
run2,16,1.116666666666667,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,17,1.0950000000000002,191.16,124.67,20.019356076764655,21.3820703635975,5.461307415944216,-10.0
run2,18,1.1216666666666668,191.16,124.67,23.1089699694988,17.505726242647796,5.461307415944216,-10.0
run2,19,1.14,191.16,126.5632670405039,20.019356076764655,21.3820703635975,5.461307415944216,-10.0
run2,20,1.1816666666666669,191.16,126.5632670405039,20.019356076764655,21.3820703635975,5.461307415944216,-10.0
run3,1,0.3699999999999999,191.16,126.56,20.02,21.38,15.0,-10.0
run3,2,0.735,191.16,126.56,27.247723884617635,21.38,15.0,-10.0
run4,1,0.36,191.2,126.6,20.0,21.4,23.981310042491174,-10.0
run4,2,0.3783333333333334,191.2,126.6,20.0,21.4,15.0,-4.8303904254464705
run4,3,0.7266666666666669,191.2,126.6,6.13080059636183,21.4,15.0,-4.8303904254464705
run4,4,0.7566666666666667,191.2,128.40658208950066,10.276310562806197,33.38630327982145,23.981310042491174,-10.0
run4,5,0.7466666666666667,191.2,128.40658208950066,10.276310562806197,33.38630327982145,15.0,-4.8303904254464705
run4,6,1.14,189.31711691713792,126.6,6.13080059636183,21.4,15.0,-4.8303904254464705
run4,7,1.13,189.31711691713792,126.6,6.13080059636183,21.4,15.0,-4.8303904254464705
run4,8,0.75,189.31711691713792,126.6,6.13080059636183,31.688254180176212,15.0,-4.8303904254464705
run4,9,1.116666666666667,189.31711691713792,126.6,6.13080059636183,21.4,15.0,-4.8303904254464705
run4,10,0.7466666666666667,189.31711691713792,126.6,6.13080059636183,21.4,15.0,-4.8303904254464705
run4,11,1.09,189.31711691713792,126.6,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,12,1.106666666666667,189.31711691713792,138.25768090531164,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,13,1.086666666666667,174.43680484352367,126.6,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,14,1.1333333333333335,174.43680484352367,126.6,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,15,1.11,189.31711691713792,138.25768090531164,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,16,0.7300000000000001,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,17,1.106666666666667,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,15.0,-4.8303904254464705
run4,18,0.77,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,19,1.1333333333333335,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,20,1.116666666666667,179.05442938131952,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,21,1.1,179.05442938131952,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,22,1.13,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,23,0.7466666666666667,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,24,1.1033333333333333,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,25,0.7366666666666668,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,26,1.1333333333333333,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,27,0.7266666666666667,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
run4,28,0.7300000000000001,174.43680484352367,138.25768090531164,13.155619892576869,32.583776605450346,7.181553214623593,-8.095059090579568
